,flightNumber,departureAirportFsCode,arrivalAirportFsCode,delay_time,aircraft_model,tailnumber,flights_time,departureTerminal,arrivalTerminal,departureAirportLat,departureAirportLon,arrivalAirportLat,arrivalAirportLon,departureAirportWeather,arrivalAirportWeather,is_crestian_holiday,departureDate_year,departureDate_month,departureDate_day,departureDate_hour,departureDate_minute,arrivalDate_year,arrivalDate_month,arrivalDate_day,arrivalDate_hour,arrivalDate_minute
0,381,TLV,MXP,22,738,4X-EKH,204,TLV_TLV_TLV_TLV_TLV_TLV_3,MXP_MXP_MXP_MXP_MXP_MXP_1,32.000454,34.870743,45.627403,8.71237,1,0,0,2016,6,24,4,45,2016,6,24,9,0
1,382,MXP,TLV,20,737,4X-EKH,213,MXP_MXP_MXP_MXP_MXP_MXP_1,TLV_TLV_TLV_TLV_TLV_TLV_3,45.627403,8.71237,32.000454,34.870743,0,0,0,2016,6,24,10,5,2016,6,24,13,55
2,553,TLV,SOF,0,738,4X-EKH,133,TLV_TLV_TLV_TLV_TLV_TLV_3,SOF_SOF_SOF_SOF_SOF_SOF_T2,32.000454,34.870743,42.688343,23.41443,0,0,0,2016,6,25,18,30,2016,6,25,21,15
3,554,SOF,TLV,29,738,4X-EKH,137,SOF_SOF_SOF_SOF_SOF_SOF_2,TLV_TLV_TLV_TLV_TLV_TLV_3,42.688343,23.41443,32.000454,34.870743,0,0,0,2016,6,25,22,15,2016,6,26,0,40
4,382,MXP,TLV,396,738,4X-EKH,211,MXP_MXP_MXP_MXP_MXP_MXP_1,TLV_TLV_TLV_TLV_TLV_TLV_3,45.627403,8.71237,32.000454,34.870743,0,0,0,2016,6,26,10,5,2016,6,26,13,55
5,348,ZRH,TLV,332,738,4X-EKH,217,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,51,0,0,2016,6,27,10,40,2016,6,27,14,35
6,345,TLV,GVA,17,738,4X-EKH,250,TLV_TLV_TLV_TLV_TLV_TLV_3,GVA_GVA_GVA_GVA_GVA_GVA_1,32.000454,34.870743,46.229633,6.105774,1,0,0,2016,6,28,3,20,2016,6,28,7,55
7,357,TLV,FRA,35,738,4X-EKH,255,TLV_TLV_TLV_TLV_TLV_TLV_3,FRA_FRA_FRA_FRA_FRA_FRA_1,32.000454,34.870743,50.050735,8.570773,1,1,0,2016,6,29,3,10,2016,6,29,7,55
8,358,FRA,TLV,80,738,4X-EKH,232,FRA_FRA_FRA_FRA_FRA_FRA_1,TLV_TLV_TLV_TLV_TLV_TLV_3,50.050735,8.570773,32.000454,34.870743,1,0,0,2016,6,29,9,0,2016,6,29,13,5
9,562,WAW,TLV,85,738,4X-EKH,205,WAW_WAW_WAW_WAW_WAW_WAW_A,TLV_TLV_TLV_TLV_TLV_TLV_3,52.170906,20.97329,32.000454,34.870743,1,0,0,2016,6,29,19,15,2016,6,29,23,10
10,348,ZRH,TLV,43,738,4X-EKH,221,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,51,0,0,2016,6,30,10,40,2016,6,30,14,35
11,362,VIE,TLV,53,73H,4X-EKH,185,VIE_VIE_VIE_VIE_VIE_VIE_3,TLV_TLV_TLV_TLV_TLV_TLV_3,48.11972,16.563583,32.000454,34.870743,1,0,0,2016,7,1,10,5,2016,7,1,13,30
12,348,ZRH,TLV,48,738,4X-EKH,217,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,1,0,0,2016,7,3,10,40,2016,7,3,14,35
13,348,ZRH,TLV,170,738,4X-EKH,216,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,0,0,0,2016,7,4,10,40,2016,7,4,14,35
14,353,TLV,MUC,6,738,4X-EKH,229,TLV_TLV_TLV_TLV_TLV_TLV_3,MUC_MUC_MUC_MUC_MUC_MUC_1,32.000454,34.870743,48.353004,11.790143,0,1,0,2016,7,6,3,0,2016,7,6,7,15
15,354,MUC,TLV,29,738,4X-EKH,205,MUC_MUC_MUC_MUC_MUC_MUC_1,TLV_TLV_TLV_TLV_TLV_TLV_3,48.353004,11.790143,32.000454,34.870743,1,0,0,2016,7,6,8,20,2016,7,6,12,10
16,562,WAW,TLV,10,738,4X-EKH,202,WAW_WAW_WAW_WAW_WAW_WAW_A,TLV_TLV_TLV_TLV_TLV_TLV_3,52.170906,20.97329,32.000454,34.870743,55,0,0,2016,7,6,19,15,2016,7,6,23,10
17,248,ZRH,TLV,8,738,4X-EKH,215,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,1,0,0,2016,7,8,7,40,2016,7,8,11,35
18,348,ZRH,TLV,24,738,4X-EKH,217,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,0,0,0,2016,7,10,10,40,2016,7,10,14,35
19,348,ZRH,TLV,125,738,4X-EKH,214,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,2,0,0,2016,7,11,10,40,2016,7,11,14,35
20,381,TLV,MXP,97,737,4X-EKH,207,TLV_TLV_TLV_TLV_TLV_TLV_3,MXP_MXP_MXP_MXP_MXP_MXP_1,32.000454,34.870743,45.627403,8.71237,0,3,0,2016,7,12,4,45,2016,7,12,9,0
21,382,MXP,TLV,95,738,4X-EKH,208,MXP_MXP_MXP_MXP_MXP_MXP_1,TLV_TLV_TLV_TLV_TLV_TLV_3,45.627403,8.71237,32.000454,34.870743,1,0,0,2016,7,12,10,5,2016,7,12,13,55
22,345,TLV,GVA,40,73H,4X-EKH,254,TLV_TLV_TLV_TLV_TLV_TLV_3,GVA_GVA_GVA_GVA_GVA_GVA_1,32.000454,34.870743,46.229633,6.105774,0,51,0,2016,7,13,3,20,2016,7,13,7,55
23,351,TLV,MUC,10,738,4X-EKH,221,TLV_TLV_TLV_TLV_TLV_TLV_3,MUC_MUC_MUC_MUC_MUC_MUC_1,32.000454,34.870743,48.353004,11.790143,0,61,0,2016,7,13,14,45,2016,7,13,19,0
24,352,MUC,TLV,49,738,4X-EKH,217,MUC_MUC_MUC_MUC_MUC_MUC_1,TLV_TLV_TLV_TLV_TLV_TLV_3,48.353004,11.790143,32.000454,34.870743,61,0,0,2016,7,13,20,5,2016,7,13,23,55
25,357,TLV,FRA,15,738,4X-EKH,229,TLV_TLV_TLV_TLV_TLV_TLV_3,FRA_FRA_FRA_FRA_FRA_FRA_1,32.000454,34.870743,50.050735,8.570773,0,1,0,2016,7,14,3,10,2016,7,14,7,55
26,358,FRA,TLV,32,738,4X-EKH,220,FRA_FRA_FRA_FRA_FRA_FRA_1,TLV_TLV_TLV_TLV_TLV_TLV_3,50.050735,8.570773,32.000454,34.870743,1,0,0,2016,7,14,9,0,2016,7,14,13,5
27,397,TLV,MAD,35,73H,4X-EKH,304,TLV_TLV_TLV_TLV_TLV_TLV_3,MAD_MAD_MAD_MAD_MAD_MAD_4S,32.000454,34.870743,40.46515,-3.570209,0,0,0,2016,7,14,14,25,2016,7,14,19,55
28,398,MAD,TLV,22,73H,4X-EKH,259,MAD_MAD_MAD_MAD_MAD_MAD_4S,TLV_TLV_TLV_TLV_TLV_TLV_3,40.46515,-3.570209,32.000454,34.870743,0,0,0,2016,7,14,21,10,2016,7,15,1,50
29,348,ZRH,TLV,49,738,4X-EKH,225,ZRH_ZRH_ZRH_ZRH_ZRH_ZRH_2,TLV_TLV_TLV_TLV_TLV_TLV_3,47.450603,8.561746,32.000454,34.870743,51,0,0,2016,7,15,9,55,2016,7,15,13,50
30,283,TLV,FCO,6,738,4X-EKH,192,TLV_TLV_TLV_TLV_TLV_TLV_3,FCO_FCO_FCO_FCO_FCO_FCO_3,32.000454,34.870743,41.794594,12.250346,0,0,0,2016,7,16,17,45,2016,7,16,21,30
31,284,FCO,TLV,15,738,4X-EKH,182,FCO_FCO_FCO_FCO_FCO_FCO_5,TLV_TLV_TLV_TLV_TLV_TLV_3,41.794594,12.250346,32.000454,34.870743,0,1,0,2016,7,16,22,35,2016,7,17,2,0
32,345,TLV,GVA,17,73H,4X-EKH,238,TLV_TLV_TLV_TLV_TLV_TLV_3,GVA_GVA_GVA_GVA_GVA_GVA_1,32.000454,34.870743,46.229633,6.105774,0,0,0,2016,7,17,3,20,2016,7,17,7,55
33,391,TLV,BCN,54,73H,4X-EKH,256,TLV_TLV_TLV_TLV_TLV_TLV_3,BCN_BCN_BCN_BCN_BCN_BCN_1,32.000454,34.870743,41.30303,2.07593,0,0,0,2016,7,17,14,55,2016,7,17,19,45
